"chunk_id","edition_id","line_id","page","line_no","box","text","text_hash","chunk_type"
19669,1,"FR19669",561,6,"[56.8, 143.21, 485.6, 163.64]","ici même et on pourrait plus l’arrêter ! » J’insistai pas.","4842ebd1c7aeed1cb58689048ef601fc","main_text"
19670,1,"FR19670",561,7,"[99.3, 163.61, 543.04, 184.04]","Après tout, c’est peut-être que ça lui faisait plaisir de se","7b88cf1429e4c1df03888d874a2066f8","main_text"
19671,1,"FR19671",561,8,"[56.8, 184.11, 543.04, 204.54]","faire engueuler publiquement Robinson et puis aussi il la","6289a27cd0d1f07b04c2838a145c4e13","main_text"
19672,1,"FR19672",561,9,"[56.8, 204.51, 543.04, 224.94]","connaissait mieux que moi. Comme l’averse finissait on a","f316a991088934abf20ff7a4a0989aad","main_text"
19673,1,"FR19673",561,10,"[56.8, 225.01, 543.04, 245.44]","trouvé un taxi. On se précipite et nous voilà casés les uns","c41024b2ef84742f83076be37de2667d","main_text"
19674,1,"FR19674",561,11,"[56.8, 245.41, 543.04, 265.84]","contre les autres. D’abord, on ne se dit rien. On en avait gros","96bc9f8efb5d79b76f3c9eed04c9414e","main_text"
19675,1,"FR19675",561,12,"[56.8, 265.91, 543.04, 286.34]","entre nous et puis j’avais comme ça assez gaffé pour ma part.","9a6776c260adeeb16557baec7cacd0c2","main_text"
19676,1,"FR19676",561,13,"[56.8, 286.31, 495.14, 306.74]","Je pouvais attendre un petit peu avant de m’y remettre.","d0701101f0c0581ab93c96cf114126ed","main_text"
19677,1,"FR19677",561,14,"[99.3, 306.81, 543.04, 327.24]","Moi et Léon nous prîmes les strapontins de devant et","48708ed7829ea424d5d76930d634d05a","main_text"
19678,1,"FR19678",561,15,"[56.8, 327.21, 543.04, 347.64]","les deux femmes occupèrent le fond du taxi. Les soirs de","1c3273fe1ac96d2e83c96e5564512366","main_text"
19679,1,"FR19679",561,16,"[56.8, 347.71, 543.04, 368.14]","fête,  c’est  très  encombré  la  route  d’Argenteuil,  surtout","b2adf11f1255e84de0eb9b1f4dde02f5","main_text"
19680,1,"FR19680",561,17,"[56.8, 368.11, 543.04, 388.54]","jusqu’à la Porte. Après, il faut encore compter une bonne","598c0c0a9e8803b3b8965653ae70a55d","main_text"
19681,1,"FR19681",561,18,"[56.8, 388.61, 543.04, 409.04]","heure pour arriver à Vigny à cause des voitures. C’est pas","fefea07769a126e10e749aa02770aadd","main_text"
19682,1,"FR19682",561,19,"[56.8, 409.01, 543.04, 429.44]","commode de rester une heure sans rien se dire, face à face, à","25d0b61d993fcd6e238b19d600bce8df","main_text"
19683,1,"FR19683",561,20,"[56.8, 429.51, 543.04, 449.94]","se regarder, surtout quand il fait sombre et qu’on est un peu","edbd9fb2201fa3cda8f162593de6f8d4","main_text"
19684,1,"FR19684",561,21,"[56.8, 449.91, 331.66, 470.34]","inquiets les uns à cause des autres.","7c78dc7697f357cdf7abec708389a2fc","main_text"
19685,1,"FR19685",561,22,"[99.3, 470.41, 543.04, 490.84]","Toutefois, si nous étions restés comme ça, vexés, mais","3decce80b85e0a37994f7e559c0e5faa","main_text"
19686,1,"FR19686",561,23,"[56.8, 490.81, 543.04, 511.24]","chacun  pour  soi,  rien  ne  serait  arrivé.  C’est  encore","3745995c42fad3e287a80898668b1d69","main_text"
19687,1,"FR19687",561,24,"[56.8, 511.31, 404.38, 531.74]","aujourd’hui mon opinion quand j’y repense.","46b52f00bb91aacd6bc98b39c574f4b4","main_text"
19688,1,"FR19688",561,25,"[99.3, 531.71, 543.04, 552.14]","Somme toute c’est à cause de moi qu’on s’est reparlé et","bdf2e3583d70e3fde7a9090b0fa12dc1","main_text"
19689,1,"FR19689",561,26,"[56.8, 552.21, 543.04, 572.64]","que la dispute a repris alors tout de suite et de plus belle.","7b467107764b3db2beb21140a5fb4d8c","main_text"
19690,1,"FR19690",561,27,"[56.8, 572.61, 543.04, 593.04]","Avec les mots on ne se méfie jamais suffisamment, ils ont","3a8fb489003a756571f2e82588ff431a","main_text"
19691,1,"FR19691",561,28,"[56.8, 593.11, 543.04, 613.54]","l’air de rien les mots, pas l’air de dangers bien sûr, plutôt de","2fdded6546bb8cf0c451ba46a3a2628b","main_text"
19692,1,"FR19692",561,29,"[56.8, 613.51, 543.04, 633.94]","petits vents, de petits sons de bouche, ni chauds, ni froids, et","f4d028ff4107f23740dbcdcad8d34b45","main_text"
19693,1,"FR19693",561,30,"[56.8, 634.01, 543.04, 654.44]","facilement repris dès qu’ils arrivent par l’oreille par l’énorme","713fca010f0faced32f54dce6d77a7c7","main_text"
19694,1,"FR19694",561,31,"[56.8, 654.41, 543.04, 674.84]","ennui gris mou du cerveau. On ne se méfie pas d’eux des","e505ce43f154e0f401971cb35fcbe33c","main_text"
19695,1,"FR19695",561,32,"[56.8, 674.91, 260.94, 695.34]","mots et le malheur arrive.","78c34c516a2e471b216724cecbc7417e","main_text"
19696,1,"FR19696",561,33,"[99.3, 695.31, 543.04, 715.74]","Des mots, il y en a des cachés parmi les autres, comme","9cec7396211322edbfdc99761e52d75d","main_text"
19697,1,"FR19697",561,34,"[56.8, 715.81, 543.04, 736.24]","des cailloux. On les reconnaît pas spécialement et puis les","5faa1b97a25593949ef5bf52b70c2377","main_text"
19698,1,"FR19698",561,35,"[56.8, 736.21, 543.04, 756.64]","voilà qui vous font trembler pourtant toute  la vie qu’on","1c9f479ee0816dd697b382e9c7acd2dd","main_text"
19699,1,"FR19699",561,36,"[56.8, 756.71, 543.04, 777.14]","possède, et tout entière, et dans son faible et dans son fort...","485e41eb75fa929e2b89a19ea18cf365","main_text"
19700,1,"FR19700",561,37,"[259.7, 793.7, 335.8, 805.88]","Page 563 sur 584","7984fff50f0ac6f76e51d1ecc284c397","page_footer"
19701,1,"FR19701",562,1,"[221.9, 36.49, 372.67, 47.56]","L F Céline, Voyage au bout de la nuit","8b4d696ded44bd6391de7cea6f68f21a","page_header"
19702,1,"FR19702",562,2,"[56.8, 61.41, 543.04, 81.84]","C’est  la  panique alors...  Une  avalanche...  On en reste  là","c13f84addd0933ccfb11414300a1eed9","main_text"
19703,1,"FR19703",562,3,"[56.8, 81.81, 543.04, 102.24]","comme  un  pendu,  au-dessus  des  émotions...  C’est  une","5ab8ace6c2b8d94d9405f22236dee0e8","main_text"
19704,1,"FR19704",562,4,"[56.8, 102.31, 543.04, 122.74]","tempête qui est arrivée, qui est passée, bien trop forte pour","64c609b179f2fc969d4c758d6e56b75e","main_text"
19705,1,"FR19705",562,5,"[56.8, 122.71, 543.04, 143.14]","vous,  si  violente  qu’on  l’aurait jamais  crue  possible  rien","3230216a5bf013a4688b22aa5ba4aadc","main_text"
19706,1,"FR19706",562,6,"[56.8, 143.21, 543.04, 163.64]","qu’avec des sentiments... Donc, on ne se méfie jamais assez","88f77f611f92009948ec772e6b06ba09","main_text"
19707,1,"FR19707",562,7,"[56.8, 163.61, 543.04, 184.04]","des mots, c’est ma conclusion. Mais d’abord que je raconte","0f8888d2993e848d5d21ae5ab000902b","main_text"
19708,1,"FR19708",562,8,"[56.8, 184.11, 543.04, 204.54]","les choses... Le taxi suivait doucement son tram à cause des","afa95d609e8d7c3f01d4080790704990","main_text"
19709,1,"FR19709",562,9,"[56.8, 204.51, 542.94, 224.94]","réparations... « Rron... et non... » qu’il faisait. Un caniveau","0cbc34224979fae58424686e279c90ff","main_text"
19710,1,"FR19710",562,10,"[56.8, 225.01, 543.04, 245.44]","chaque cent mètres... Seulement ça ne me suffisait pas à moi","fadd2dec8a5d8bb4e9c787338b909071","main_text"
19711,1,"FR19711",562,11,"[56.8, 245.41, 543.04, 265.84]","le  tram  devant.  Toujours  bavard  et  enfantin,  je","a4a5f0cac9cb699b63e2dd78524989bd","main_text"
19712,1,"FR19712",562,12,"[56.8, 265.91, 543.04, 286.34]","m’impatientais... Ça ne m’était pas supportable cette petite","59941cda209643ba2a39b8cd6cdf8992","main_text"
19713,1,"FR19713",562,13,"[56.8, 286.31, 543.04, 306.74]","allure  d’enterrement  et  cette  indécision  partout...  Je  me","01f2547cdfa3014904c40e11cf556773","main_text"
19714,1,"FR19714",562,14,"[56.8, 306.81, 543.04, 327.24]","dépêchais de le casser le silence pour tâcher de savoir ce","0fb89375152b7630aaf67e37447d1a30","main_text"
19715,1,"FR19715",562,15,"[56.8, 327.21, 543.04, 347.64]","qu’il  pouvait  bien  avoir  dans  le  derrière.  J’observai,  ou","789eee9ef1ed2ccea8be610254038127","main_text"
19716,1,"FR19716",562,16,"[56.8, 347.71, 543.04, 368.14]","plutôt  j’essayai  d’observer,  puisqu’on  n’y  voyait  presque","3823012d51f43d0387b7f6282a65661f","main_text"
19717,1,"FR19717",562,17,"[56.8, 368.11, 543.04, 388.54]","plus, dans son coin à gauche, dans le fond du taxi, Madelon.","7a37926027f7647db84d780e70722441","main_text"
19718,1,"FR19718",562,18,"[56.8, 388.61, 543.04, 409.04]","Elle gardait la figure tournée vers le dehors, vers le paysage,","8893a83a2e38a5f3590a5f4f8cb396f0","main_text"
19719,1,"FR19719",562,19,"[56.8, 409.01, 543.04, 429.44]","vers la nuit à vrai dire. Je constatai avec dépit qu’elle était","66d8a08ce407396ba953d9456ebbd8a1","main_text"
19720,1,"FR19720",562,20,"[56.8, 429.51, 543.04, 449.94]","toujours aussi entêtée. Un vrai emmerdeur, moi, d’autre","a835538ca0e35f8b71f3fc86700f07c3","main_text"
19721,1,"FR19721",562,21,"[56.8, 449.91, 543.04, 470.34]","part. Je l’interpellai, rien que pour lui faire tourner la tête de","0513d7f609f811884c8b82d528ac24f1","main_text"
19722,1,"FR19722",562,22,"[56.8, 470.41, 134.92, 490.84]","mon côté.","2a7627e3851a34ea73fb85306f257337","main_text"
19723,1,"FR19723",562,23,"[99.3, 490.81, 543.04, 511.24]","— Dites donc Madelon ! que je lui demandai. Vous avez","bbd632e9a62f4dc532333732e2eac562","main_text"
19724,1,"FR19724",562,24,"[56.8, 511.31, 543.04, 531.74]","peut-être un projet d’amusement vous que vous n’osez pas","eee088afcdc1d3cb6b27938ba96c1519","main_text"
19725,1,"FR19725",562,25,"[56.8, 531.71, 543.04, 552.14]","nous confier ? Voulez-vous qu’on s’arrête quelque part avant","4018efe910acdafa2cc0645901cd68af","main_text"
19726,1,"FR19726",562,26,"[56.8, 552.21, 346.25, 572.64]","de rentrer ? Dites-le tout de suite ?...","1d0ab261bd5d20b5ef37a972f3bc05b9","main_text"
19727,1,"FR19727",562,27,"[99.3, 572.61, 543.04, 593.04]","— S’amuser ! s’amuser ! qu’elle m’a répondu comme","46e656d53d8c32fc99bbaf4884dee5b9","main_text"
